,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
6290,57,Private,375868,Masters,14,Married civilian,Administrative,Husband,White,Male,0,0,40,United States,<=50K
6291,56,Private,413373,7th-8th,4,Married civilian,Transport,Husband,White,Male,0,0,36,United States,<=50K
6292,24,Private,537222,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,50,United States,<=50K
6293,35,Local government,33975,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,40,United States,>50K
6294,51,Self employed,162327,11th,7,Divorced,Sales,Not in family,White,Male,0,0,40,United States,<=50K
6295,34,Private,182691,High school graduate,9,Divorced,Managerial,Child,White,Male,0,0,44,United States,<=50K
6296,36,Private,300829,Associate academic,12,Divorced,Administrative,Single,White,Female,0,0,42,United States,<=50K
6297,51,Local government,114508,9th,5,Separated,Service,Relative,White,Female,0,0,40,United States,<=50K
6298,46,Self employed,214627,Doctorate,16,Married civilian,Professional,Husband,White,Male,0,0,60,United States,>50K
6299,42,Private,129684,High school graduate,9,Divorced,Managerial,Not in family,Black,Female,5455,0,50,United States,<=50K
6300,25,State government,120041,Bachelors,13,Single,Professional,Not in family,White,Female,0,0,40,United States,<=50K
6301,22,Private,361138,High school graduate,9,Single,Handlers,Relative,White,Male,0,0,50,United States,<=50K
6302,37,Private,76893,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6303,48,Private,205424,Bachelors,13,Divorced,Sales,Single,White,Male,0,0,40,United States,>50K
6304,61,Private,176839,Bachelors,13,Married civilian,Professional,Husband,White,Male,15024,0,50,United States,>50K
6305,40,Private,229148,12th,8,Married civilian,Transport,Husband,Black,Male,0,0,40,Jamaica,<=50K
6306,58,Self employed,154537,High school graduate,9,Married civilian,Managerial,Wife,White,Female,0,0,20,United States,>50K
6307,52,Private,181901,High school graduate,9,Married spouse absent,Agricultural,Relative,White,Male,0,0,20,Mexico,<=50K
6308,18,Private,152004,11th,7,Single,Service,Child,Black,Male,0,0,20,United States,<=50K
6309,27,Private,205188,10th,6,Married civilian,Machine inspectors,Husband,White,Male,0,0,40,United States,<=50K
6310,48,Self employed,30840,College,10,Married civilian,Professional,Husband,White,Male,5013,0,45,United States,<=50K
6311,63,Private,66634,9th,5,Married civilian,Craft and repair,Husband,White,Male,0,0,16,United States,<=50K
6312,38,Self employed,180220,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,60,United States,<=50K
6313,31,Private,291052,College,10,Married civilian,Administrative,Husband,White,Male,0,2051,40,United States,<=50K
6314,40,Self employed,99651,College,10,Married civilian,Professional,Husband,White,Male,0,0,60,United States,<=50K
6315,41,Private,327723,High school graduate,9,Divorced,Managerial,Not in family,White,Male,0,0,40,United States,<=50K
6316,28,Private,32291,Bachelors,13,Single,Professional,Not in family,White,Female,2174,0,40,United States,<=50K
6317,31,Private,345122,Professional school degree,15,Divorced,Professional,Not in family,White,Male,14084,0,50,United States,>50K
6318,32,Private,127384,Associate vocational,11,Married civilian,Craft and repair,Husband,White,Male,0,0,55,United States,>50K
6319,30,Private,363296,High school graduate,9,Single,Handlers,Single,Black,Male,0,0,72,United States,<=50K
6320,39,Local government,86551,High school graduate,9,Divorced,Craft and repair,Not in family,White,Male,0,1876,40,United States,<=50K
6321,28,Private,30070,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,50,United States,<=50K
6322,31,Private,595000,High school graduate,9,Single,Handlers,Relative,Black,Female,0,0,35,United States,<=50K
6323,44,State government,111483,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,40,United States,>50K
6324,22,Private,199555,College,10,Single,Agricultural,Child,White,Male,0,0,25,United States,<=50K
6326,36,Private,218490,Associate academic,12,Married civilian,Craft and repair,Husband,White,Male,0,0,35,United States,<=50K
6327,39,Private,49020,Masters,14,Single,Managerial,Not in family,White,Male,0,1974,40,United States,<=50K
6328,61,Private,213321,College,10,Married civilian,Managerial,Husband,White,Male,0,1672,40,United States,<=50K
6329,31,Private,159187,High school graduate,9,Divorced,Transport,Child,White,Male,0,0,40,United States,<=50K
6330,21,Private,83033,College,10,Single,Service,Not in family,White,Female,0,0,25,Germany,<=50K
6331,39,Self employed,31848,College,10,Married civilian,Agricultural,Husband,White,Male,2829,0,90,United States,<=50K
6332,34,Self employed,24961,High school graduate,9,Married civilian,Agricultural,Husband,White,Male,0,0,80,United States,<=50K
6333,21,Private,182117,College,10,Single,Service,Child,White,Male,0,0,15,United States,<=50K
6334,75,Self employed,146576,Bachelors,13,Widowed,Professional,Single,White,Male,0,0,48,United States,>50K
6335,21,Private,176690,College,10,Single,Service,Child,White,Male,0,0,24,United States,<=50K
6336,81,Private,122651,College,10,Married civilian,Sales,Husband,White,Male,0,0,15,United States,<=50K
6337,54,Self employed,149650,High school graduate,9,Divorced,Service,Not in family,White,Male,0,0,40,Canada,<=50K
6338,34,Private,454508,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,65,Iran,<=50K
6339,54,Self employed,269068,Professional school degree,15,Married civilian,Professional,Husband,Asian-Pac-Islander,Male,99999,0,50,Philippines,>50K
6340,41,Private,266530,High school graduate,9,Married civilian,Service,Husband,Amer-Indian-Eskimo,Male,0,0,45,United States,<=50K
6341,63,Private,133144,High school graduate,9,Married civilian,Service,Husband,White,Male,2580,0,20,United States,<=50K
6342,24,Private,217961,College,10,Single,Machine inspectors,Not in family,White,Male,0,0,40,United States,<=50K
6343,20,Private,221661,High school graduate,9,Married civilian,Administrative,Wife,White,Female,0,0,40,Mexico,<=50K
6344,44,Local government,60735,Bachelors,13,Divorced,Professional,Child,White,Female,0,0,60,United States,<=50K
6345,47,Self employed,121124,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,40,United States,>50K
6346,31,Private,48588,College,10,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6347,41,Private,48087,7th-8th,4,Divorced,Craft and repair,Not in family,White,Male,0,1590,40,United States,<=50K
6348,53,Self employed,240138,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,60,United States,<=50K
6349,63,Private,273010,High school graduate,9,Married civilian,Administrative,Wife,White,Female,3471,0,40,United States,<=50K
6350,44,Private,104196,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,45,United States,>50K
6351,37,Private,230035,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,46,United States,>50K
6352,28,Private,38918,College,10,Married civilian,Craft and repair,Husband,White,Male,0,0,50,Germany,>50K
6353,57,Private,176079,High school graduate,9,Divorced,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
6354,22,Private,180052,College,10,Single,Agricultural,Child,White,Male,0,0,10,United States,<=50K
6355,33,Local government,173005,Bachelors,13,Married civilian,Administrative,Husband,White,Male,0,1848,45,United States,>50K
6356,30,Private,378723,College,10,Divorced,Administrative,Child,White,Female,0,0,55,United States,<=50K
6357,20,Private,233624,High school graduate,9,Single,Craft and repair,Child,White,Male,0,0,40,United States,<=50K
6358,28,Private,192591,Bachelors,13,Single,Administrative,Not in family,White,Female,0,0,45,United States,<=50K
6359,54,Private,249860,11th,7,Divorced,Private Household Workers,Single,Black,Female,0,0,10,United States,<=50K
6360,20,Private,247564,High school graduate,9,Single,Handlers,Child,White,Male,0,0,35,United States,<=50K
6361,34,Private,238912,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,<=50K
6362,21,Private,190227,College,10,Single,Administrative,Child,White,Male,0,0,40,United States,<=50K
6363,29,State government,293287,College,10,Single,Service,Single,White,Female,0,0,40,United States,<=50K
6364,51,Private,180807,College,10,Divorced,Managerial,Single,White,Female,0,0,40,United States,<=50K
6365,39,Private,250217,High school graduate,9,Divorced,Machine inspectors,Not in family,Black,Female,0,0,70,United States,<=50K
6366,19,Private,217418,College,10,Single,Administrative,Relative,Black,Female,0,0,38,United States,<=50K
6367,22,Local government,137510,High school graduate,9,Single,Agricultural,Child,White,Male,0,0,40,United States,<=50K
6368,59,State government,163047,College,10,Divorced,Administrative,Not in family,White,Female,0,0,38,United States,<=50K
6369,18,Private,577521,11th,7,Single,Sales,Child,White,Male,0,0,13,United States,<=50K
6370,22,Private,221533,High school graduate,9,Single,Service,Not in family,White,Male,0,0,20,United States,<=50K
6371,42,Local government,255675,College,10,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,>50K
6372,39,Private,114079,Associate academic,12,Single,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
6373,31,Private,155781,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,40,United States,>50K
6374,28,Private,243762,11th,7,Separated,Craft and repair,Single,White,Female,0,0,40,United States,<=50K
6375,22,Private,113062,Bachelors,13,Single,Managerial,Child,White,Female,0,0,7,United States,<=50K
6376,67,Private,217028,Masters,14,Single,Service,Not in family,White,Female,0,0,40,United States,<=50K
6377,17,Private,110723,11th,7,Single,Sales,Child,White,Female,0,0,25,United States,<=50K
6378,47,Federal government,191858,Associate academic,12,Married civilian,Administrative,Husband,White,Male,0,0,40,United States,>50K
6379,23,Private,179423,Bachelors,13,Single,Administrative,Not in family,White,Female,0,0,5,United States,<=50K
6380,20,Private,339588,High school graduate,9,Married civilian,Service,Wife,White,Female,0,0,40,Peru,<=50K
6381,22,Private,206815,High school graduate,9,Single,Sales,Single,White,Female,0,0,40,Peru,<=50K
6382,47,State government,103743,7th-8th,4,Married civilian,Transport,Husband,White,Male,0,0,40,United States,<=50K
6383,49,Private,235683,College,10,Married civilian,Sales,Wife,White,Female,0,0,40,United States,>50K
6384,35,State government,197495,College,10,Divorced,Managerial,Not in family,Black,Female,0,0,40,United States,<=50K
6385,52,Federal government,424012,College,10,Divorced,Managerial,Not in family,White,Female,0,0,40,United States,<=50K
6386,29,Private,178469,High school graduate,9,Single,Sales,Not in family,White,Female,0,0,40,United States,<=50K
6387,73,Self employed,92886,10th,6,Widowed,Sales,Single,White,Female,0,0,40,Canada,<=50K
6388,38,Self employed,214008,High school graduate,9,Married civilian,Professional,Husband,White,Male,0,0,50,United States,>50K
6389,59,Self employed,325732,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,1902,52,United States,>50K
6390,35,Private,28572,College,10,Married civilian,Craft and repair,Husband,White,Male,4064,0,35,United States,<=50K
6391,18,Private,118376,College,10,Single,Sales,Child,White,Female,0,0,15,United States,<=50K
6392,24,Private,51799,High school graduate,9,Married civilian,Administrative,Wife,Black,Female,0,0,40,United States,<=50K
6393,33,Local government,115488,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,50,United States,<=50K
6394,40,Private,190621,College,10,Divorced,Managerial,Relative,Black,Female,0,0,55,United States,<=50K
6395,55,Private,193568,High school graduate,9,Widowed,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
6396,44,Private,192878,High school graduate,9,Divorced,Professional,Not in family,White,Male,0,0,40,United States,<=50K
6397,40,Private,264663,Bachelors,13,Single,Professional,Child,White,Female,0,0,60,United States,<=50K
6398,22,Private,234731,High school graduate,9,Divorced,Handlers,Child,White,Male,0,0,40,United States,<=50K
6399,55,Private,308373,College,10,Married civilian,Managerial,Wife,White,Female,0,0,40,United States,>50K
6400,45,Private,205644,High school graduate,9,Separated,Tech support,Not in family,White,Female,0,0,26,United States,<=50K
6401,47,Local government,321851,Bachelors,13,Single,Professional,Not in family,White,Female,0,0,50,United States,>50K
6402,56,Private,206399,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6403,44,Private,124563,High school graduate,9,Married civilian,Machine inspectors,Husband,Black,Male,0,0,40,United States,<=50K
6404,32,State government,198211,College,10,Single,Administrative,Not in family,White,Male,0,0,38,United States,<=50K
6405,17,Private,130795,10th,6,Single,Service,Child,White,Male,0,0,20,United States,<=50K
6406,44,Private,71269,College,10,Divorced,Managerial,Not in family,White,Male,0,0,50,United States,<=50K
6407,32,Self employed,319280,Associate academic,12,Single,Sales,Not in family,White,Male,0,0,80,United States,<=50K
6408,35,Private,125933,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,60,United States,>50K
6409,27,Private,107236,High school graduate,9,Married civilian,Service,Husband,White,Male,0,0,40,United States,<=50K
6410,32,Private,32732,High school graduate,9,Married civilian,Professional,Husband,White,Male,0,0,50,United States,<=50K
6411,68,Private,284763,11th,7,Divorced,Transport,Not in family,White,Male,0,0,70,United States,<=50K
6412,20,Private,112668,College,10,Single,Service,Child,White,Female,0,0,20,United States,<=50K
6413,33,Private,376483,College,10,Divorced,Administrative,Not in family,Black,Female,0,0,40,United States,<=50K
6414,24,Private,402778,9th,5,Single,Handlers,Child,White,Male,0,0,12,United States,<=50K
6415,48,Private,36177,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,45,United States,<=50K
6416,45,Private,125489,Masters,14,Divorced,Professional,Single,White,Female,0,0,50,United States,<=50K
6417,48,Private,304791,College,10,Widowed,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
6418,28,Private,209205,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,45,United States,>50K
6419,39,Local government,178100,Masters,14,Divorced,Professional,Single,White,Female,0,0,40,United States,<=50K
6420,23,Private,70261,College,10,Single,Service,Child,White,Male,0,0,30,United States,<=50K
6421,23,State government,186634,12th,8,Single,Managerial,Not in family,White,Male,0,0,40,United States,<=50K
6422,36,Private,32958,College,10,Separated,Administrative,Relative,White,Female,0,0,40,United States,<=50K
6423,25,Private,254746,Bachelors,13,Married civilian,Professional,Wife,White,Female,0,0,40,United States,<=50K
6424,52,Private,158746,High school graduate,9,Single,Service,Single,White,Male,0,0,40,United States,<=50K
6425,35,Self employed,140854,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6426,41,Private,51506,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,<=50K
6427,45,Private,189564,Bachelors,13,Married civilian,Sales,Wife,White,Female,0,0,42,United States,>50K
6429,58,Private,213975,Associate vocational,11,Widowed,Professional,Not in family,White,Female,0,0,40,United States,<=50K
6430,67,Self employed,431426,High school graduate,9,Married civilian,Administrative,Wife,White,Female,0,0,2,United States,<=50K
6431,48,Private,199763,High school graduate,9,Married civilian,Professional,Wife,White,Female,0,0,8,United States,<=50K
6432,63,Private,161563,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,48,United States,<=50K
6433,24,Local government,252024,College,10,Married civilian,Protective services,Husband,White,Male,0,0,72,United States,>50K
6434,43,Private,43945,College,10,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,>50K
6435,36,Private,178487,High school graduate,9,Divorced,Transport,Child,White,Male,0,0,60,United States,<=50K
6436,32,Private,604506,High school graduate,9,Married civilian,Transport,Child,White,Male,0,0,72,Mexico,<=50K
6437,36,Private,228157,College,10,Single,Craft and repair,Not in family,Asian-Pac-Islander,Male,0,0,40,Laos,<=50K
6438,43,Private,199191,College,10,Single,Administrative,Not in family,White,Female,0,0,50,United States,<=50K
6439,27,Private,189775,High school graduate,9,Single,Administrative,Not in family,Black,Female,0,0,40,United States,<=50K
6440,17,Private,171080,11th,7,Single,Service,Child,White,Male,0,0,12,United States,<=50K
6441,45,Private,117310,Bachelors,13,Divorced,Sales,Not in family,White,Female,0,0,46,United States,<=50K
6442,41,Self employed,82049,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6443,41,Self employed,126094,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,38,United States,<=50K
6444,48,Local government,246392,Associate academic,12,Separated,Administrative,Not in family,Black,Female,0,0,40,United States,<=50K
6445,26,Private,292803,College,10,Single,Service,Child,White,Female,0,0,24,United States,<=50K
6446,54,Private,286989,Preschool,1,Married civilian,Agricultural,Husband,White,Male,0,0,60,United States,<=50K
6447,22,Private,190483,College,10,Divorced,Sales,Child,White,Female,0,0,48,Iran,<=50K
6448,19,Private,235849,High school graduate,9,Single,Transport,Child,White,Male,0,0,35,United States,<=50K
6449,47,Private,359766,7th-8th,4,Divorced,Handlers,Relative,Black,Male,0,0,40,United States,<=50K
6450,32,Private,128016,High school graduate,9,Married spouse absent,Service,Single,White,Female,0,0,20,United States,<=50K
6451,46,Private,360096,Bachelors,13,Married civilian,Managerial,Husband,White,Male,15024,0,60,United States,>50K
6452,30,Private,170154,Bachelors,13,Single,Tech support,Not in family,White,Female,0,0,40,United States,>50K
6453,35,Private,337286,Masters,14,Single,Managerial,Not in family,Asian-Pac-Islander,Male,0,0,40,United States,<=50K
6454,52,Private,204322,Associate vocational,11,Married civilian,Tech support,Husband,White,Male,5013,0,40,United States,<=50K
6455,73,Self employed,143833,12th,8,Married civilian,Agricultural,Husband,White,Male,0,0,18,United States,<=50K
6456,17,Private,365613,10th,6,Single,Service,Child,White,Male,0,0,10,Canada,<=50K
6457,32,Private,100135,Bachelors,13,Separated,Professional,Single,White,Female,0,0,32,United States,<=50K
6458,43,Local government,180096,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,40,United States,>50K
6459,26,Private,61270,High school graduate,9,Single,Machine inspectors,Single,Other,Female,0,0,40,Columbia,<=50K
6460,41,Federal government,564135,Masters,14,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,>50K
6461,49,Private,198759,Associate academic,12,Married civilian,Sales,Husband,White,Male,15024,0,60,United States,>50K
6462,52,State government,303462,College,10,Separated,Protective services,Single,White,Male,0,0,40,United States,<=50K
6463,35,Private,193106,High school graduate,9,Separated,Administrative,Single,White,Female,0,0,32,United States,<=50K
6464,57,Private,250201,11th,7,Married civilian,Service,Husband,White,Male,0,0,52,United States,<=50K
6465,35,Private,200426,Associate vocational,11,Married spouse absent,Professional,Single,White,Female,0,0,44,United States,<=50K
6466,33,Private,222654,Bachelors,13,Single,Professional,Not in family,White,Male,0,0,40,United States,<=50K
6467,56,Private,53366,7th-8th,4,Divorced,Transport,Single,White,Male,0,0,40,United States,<=50K
6468,42,Private,132222,Bachelors,13,Single,Sales,Child,White,Male,0,0,60,United States,<=50K
6469,17,Private,100828,College,10,Single,Administrative,Child,White,Male,0,0,20,United States,<=50K
6470,49,Private,31264,High school graduate,9,Divorced,Administrative,Not in family,White,Female,0,0,35,United States,<=50K
6471,39,Private,202027,Professional school degree,15,Married civilian,Professional,Husband,White,Male,0,0,45,United States,>50K
6472,34,Self employed,168906,College,10,Divorced,Administrative,Single,White,Female,0,0,50,United States,<=50K
6473,37,Self employed,255454,College,10,Single,Professional,Not in family,Black,Male,0,0,40,United States,<=50K
6474,22,Private,245524,12th,8,Single,Service,Not in family,White,Male,0,0,35,United States,<=50K
6475,27,Private,386040,Associate vocational,11,Married civilian,Craft and repair,Husband,White,Male,0,0,40,Mexico,<=50K
6476,21,Private,35424,College,10,Single,Sales,Child,White,Female,0,0,25,United States,<=50K
6477,44,Private,152629,Bachelors,13,Married civilian,Administrative,Husband,White,Male,3103,0,40,United States,>50K
6478,53,Self employed,151159,10th,6,Married spouse absent,Transport,Not in family,White,Male,0,0,99,United States,<=50K
6479,26,Private,410240,11th,7,Single,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
6480,48,Private,138970,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,45,United States,>50K
6481,39,Private,269722,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,70,United States,<=50K
6482,34,Private,223678,High school graduate,9,Single,Service,Single,Amer-Indian-Eskimo,Female,0,0,32,United States,<=50K
6483,54,State government,197184,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,38,United States,<=50K
6484,36,Private,143486,High school graduate,9,Married civilian,Transport,Husband,White,Male,7298,0,50,United States,>50K
6485,60,Private,160625,High school graduate,9,Married civilian,Professional,Husband,White,Male,5013,0,40,United States,<=50K
6486,50,Private,140516,High school graduate,9,Married civilian,Protective services,Husband,White,Male,0,0,40,United States,>50K
6487,48,Local government,85341,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,45,United States,<=50K
6488,35,Private,108293,College,10,Single,Administrative,Child,White,Female,0,2205,40,United States,<=50K
6489,40,Self employed,192507,Associate academic,12,Divorced,Professional,Not in family,White,Female,0,0,50,United States,<=50K
6490,30,Private,186932,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,70,United States,<=50K
6491,65,Self employed,223580,College,10,Married civilian,Machine inspectors,Husband,White,Male,6514,0,40,United States,>50K
6492,31,Private,236861,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,60,United States,<=50K
6493,46,Local government,327886,Associate academic,12,Married civilian,Administrative,Husband,White,Male,0,0,40,United States,<=50K
6494,62,Self employed,197060,Associate vocational,11,Married civilian,Managerial,Husband,White,Male,0,0,50,United States,<=50K
6495,38,Private,229180,Bachelors,13,Single,Managerial,Single,White,Female,0,0,40,Cuba,<=50K
6496,24,Private,284317,Bachelors,13,Single,Service,Child,White,Female,0,0,30,United States,<=50K
6497,24,Private,73514,College,10,Single,Sales,Not in family,Asian-Pac-Islander,Female,0,0,50,Philippines,<=50K
6498,27,Private,47907,Bachelors,13,Single,Professional,Not in family,White,Female,0,0,48,United States,<=50K
6499,43,State government,134782,Associate academic,12,Married spouse absent,Service,Single,White,Female,0,0,30,United States,<=50K
6501,41,Private,299505,High school graduate,9,Separated,Craft and repair,Not in family,Black,Male,0,0,40,United States,<=50K
6502,30,Private,267161,College,10,Married civilian,Tech support,Wife,Black,Female,0,0,45,United States,<=50K
6503,38,Private,119177,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,40,United States,>50K
6504,45,Private,327886,Professional school degree,15,Single,Professional,Not in family,White,Male,0,0,40,United States,>50K
6505,45,Private,187730,Bachelors,13,Single,Professional,Child,White,Male,0,0,40,United States,<=50K
6506,55,Private,109015,College,10,Divorced,Administrative,Not in family,White,Female,0,0,38,United States,<=50K
6507,46,Self employed,110015,7th-8th,4,Married civilian,Managerial,Husband,White,Male,0,0,75,Greece,<=50K
6508,24,Private,104146,Bachelors,13,Single,Professional,Child,Asian-Pac-Islander,Male,0,0,40,United States,<=50K
6509,31,Local government,50442,College,10,Single,Administrative,Child,Amer-Indian-Eskimo,Female,0,0,25,United States,<=50K
6510,35,Private,57640,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,35,United States,<=50K
6511,37,Local government,333664,College,10,Separated,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
6512,29,Private,224858,College,10,Married civilian,Professional,Husband,White,Male,0,0,45,United States,<=50K
6513,56,Private,290641,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,50,United States,>50K
6514,25,Private,34402,Bachelors,13,Single,Managerial,Not in family,White,Male,0,1590,60,United States,<=50K
6515,33,Private,245378,10th,6,Married civilian,Machine inspectors,Husband,White,Male,0,0,40,United States,<=50K
6516,44,Private,179136,High school graduate,9,Single,Sales,Not in family,White,Female,0,0,40,United States,<=50K
6517,21,Private,116788,High school graduate,9,Single,Craft and repair,Child,White,Male,0,0,40,United States,<=50K
6518,21,Private,129699,High school graduate,9,Single,Administrative,Not in family,White,Male,0,0,40,United States,<=50K
6519,46,Federal government,39606,Masters,14,Married civilian,Managerial,Husband,White,Male,0,0,40,England,>50K
6520,44,Self employed,95150,College,10,Married civilian,Managerial,Husband,White,Male,0,0,50,United States,>50K
6521,63,Private,102479,Bachelors,13,Divorced,Managerial,Not in family,White,Female,0,0,40,United States,<=50K
6522,44,Private,199191,High school graduate,9,Married civilian,Administrative,Wife,White,Female,0,0,30,United States,<=50K
6523,31,Private,229636,College,10,Married civilian,Craft and repair,Husband,White,Male,0,0,45,Mexico,<=50K
6524,26,Private,53833,College,10,Married civilian,Managerial,Husband,White,Male,0,0,42,United States,<=50K
6525,37,Self employed,27997,High school graduate,9,Single,Transport,Not in family,White,Male,0,0,50,United States,<=50K
6526,33,Private,111363,Bachelors,13,Married civilian,Craft and repair,Husband,White,Male,0,0,45,United States,<=50K
6527,38,Private,107630,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,<=50K
6528,26,Private,134287,Associate vocational,11,Single,Sales,Child,White,Female,0,0,35,United States,<=50K
6529,46,Self employed,283004,Associate vocational,11,Divorced,Managerial,Single,Asian-Pac-Islander,Female,0,0,63,Thailand,<=50K
6530,24,Private,33616,High school graduate,9,Single,Service,Single,White,Female,0,0,35,United States,<=50K
6531,47,Local government,121124,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,35,United States,>50K
6532,27,Private,188189,College,10,Single,Tech support,Not in family,White,Female,0,0,30,United States,<=50K
6533,46,Private,106255,College,10,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6534,47,Federal government,282830,Associate academic,12,Married civilian,Administrative,Husband,Black,Male,0,0,40,United States,>50K
6535,47,Private,243904,High school graduate,9,Divorced,Administrative,Single,White,Male,0,0,40,Honduras,<=50K
6536,69,Private,165017,High school graduate,9,Widowed,Machine inspectors,Single,White,Male,2538,0,40,United States,<=50K
6537,32,Private,131584,High school graduate,9,Married civilian,Sales,Husband,White,Male,7298,0,40,United States,>50K
6538,51,Private,427781,High school graduate,9,Married civilian,Transport,Husband,Black,Male,0,0,40,United States,<=50K
6539,36,Private,334291,High school graduate,9,Married civilian,Sales,Husband,White,Male,0,0,40,United States,>50K
6540,50,Local government,173224,Masters,14,Married civilian,Professional,Wife,White,Female,0,0,40,United States,<=50K
6541,29,Private,87507,Doctorate,16,Married civilian,Professional,Husband,Asian-Pac-Islander,Male,0,0,60,India,<=50K
6542,32,Private,187560,Professional school degree,15,Married civilian,Professional,Husband,White,Male,3908,0,40,United States,<=50K
6543,27,Private,204497,10th,6,Divorced,Transport,Not in family,Amer-Indian-Eskimo,Male,0,0,75,United States,<=50K
6544,60,Private,230545,7th-8th,4,Divorced,Administrative,Not in family,White,Female,0,0,35,Cuba,<=50K
6545,31,Private,118161,High school graduate,9,Married civilian,Service,Husband,White,Male,0,0,40,United States,<=50K
6546,46,Private,150499,Associate academic,12,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
6547,40,Local government,96554,High school graduate,9,Single,Administrative,Child,White,Female,0,0,40,United States,<=50K
6548,39,Private,288551,College,10,Married civilian,Craft and repair,Husband,Black,Male,0,0,52,United States,>50K
6549,69,Self employed,104003,7th-8th,4,Married civilian,Sales,Husband,White,Male,0,0,55,United States,<=50K
6550,54,Self employed,124963,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,>50K
6551,56,Private,198388,High school graduate,9,Divorced,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
6552,47,Federal government,126204,College,10,Divorced,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
6553,25,Private,91709,Associate academic,12,Single,Tech support,Not in family,White,Female,0,0,45,United States,<=50K
6554,34,Self employed,152109,High school graduate,9,Married civilian,Transport,Husband,White,Male,0,0,60,United States,<=50K
6555,24,Self employed,191954,7th-8th,4,Single,Agricultural,Child,White,Male,0,0,50,United States,<=50K
6556,63,Private,108097,College,10,Married civilian,Craft and repair,Husband,White,Male,10566,0,45,United States,<=50K
6557,29,Local government,289991,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,50,United States,<=50K
6558,64,Private,92115,College,10,Married civilian,Administrative,Husband,White,Male,0,0,40,United States,<=50K
6559,44,Private,320277,Bachelors,13,Single,Professional,Not in family,White,Male,0,0,40,United States,<=50K
6560,26,Private,33610,High school graduate,9,Single,Craft and repair,Relative,White,Male,0,0,60,United States,<=50K
6561,36,Private,168276,10th,6,Divorced,Service,Not in family,White,Female,0,0,40,United States,<=50K
6562,55,State government,175127,Bachelors,13,Married civilian,Administrative,Husband,White,Male,7688,0,38,United States,>50K
6563,37,Private,254973,High school graduate,9,Married civilian,Handlers,Wife,White,Female,0,0,40,United States,>50K
